Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,Communication with Nurses Achievement Points,Communication with Nurses Improvement Points,Communication with Nurses Dimension Score,Communication with Doctors Achievement Points,Communication with Doctors Improvement Points,Communication with Doctors Dimension Score,Responsiveness of Hospital Staff Achievement Points,Responsiveness of Hospital Staff Improvement Points,Responsiveness of Hospital Staff Dimension Score,Pain Management Achievement Points,Pain Management Improvement Points,Pain Management Dimension Score,Communication about Medicines Achievement Points,Communication about Medicines Improvement Points,Communication about Medicines Dimension Score,Cleanliness and Quietness of Hospital Environment Achievement Points,Cleanliness and Quietness of Hospital Environment Improvement Points,Cleanliness and Quietness of Hospital Environment Dimension Score,Discharge Information Achievement Points,Discharge Information Improvement Points,Discharge Information Dimension Score,Overall  Rating of Hospital Achievement Points,Overall Rating of Hospital Improvement Points,Overall Rating of Hospital Dimension Score,HCAHPS Base Score,HCAHPS Consistency Score,Location
100167,PLANTATION GENERAL HOSPITAL,401 NW 42ND AVE,Plantation,FL,33317,BROWARD,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,1,13,"401 NW 42ND AVE
Plantation, FL 33317
(26.126508, -80.204176)"
100035,MANATEE MEMORIAL HOSPITAL,206 2ND ST E,Bradenton,FL,34208,MANATEE,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0,11,"206 2ND ST E
Bradenton, FL 34208
(27.497209, -82.561241)"
50006,ST JOSEPH HOSPITAL,2700 DOLBEER ST,Eureka,CA,95501,HUMBOLDT,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,3,6,"2700 DOLBEER ST
Eureka, CA 95501
(40.782899, -124.142041)"
60003,LONGMONT UNITED HOSPITAL,1950 MOUNTAIN VIEW AVENUE,Longmont,CO,80501,BOULDER,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,1 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,4 out of 10,0 out of 9,4 out of 10,3 out of 10,1 out of 9,3 out of 10,10 out of 10,9 out of 9,10 out of 10,3 out of 10,0 out of 9,3 out of 10,23,16,"1950 MOUNTAIN VIEW AVENUE
Longmont, CO 80501
(40.181323, -105.125207)"
10168,JACK HUGHSTON MEMORIAL HOSPITAL,4401 RIVER CHASE DRIVE,Phenix City,AL,36867,RUSSELL,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,6 out of 10,4 out of 9,6 out of 10,6 out of 10,2 out of 9,6 out of 10,8 out of 10,4 out of 9,8 out of 10,10 out of 10,9 out of 9,10 out of 10,8 out of 10,2 out of 9,8 out of 10,7 out of 10,1 out of 9,7 out of 10,65,20,"4401 RIVER CHASE DRIVE
Phenix City, AL 36867
(32.509045, -85.005696)"
100154,SOUTH MIAMI HOSPITAL,6200 SW 73RD ST,Miami,FL,33143,DADE,7 out of 10,5 out of 9,7 out of 10,2 out of 10,0 out of 9,2 out of 10,2 out of 10,0 out of 9,2 out of 10,9 out of 10,8 out of 9,9 out of 10,7 out of 10,2 out of 9,7 out of 10,5 out of 10,2 out of 9,5 out of 10,0 out of 10,2 out of 9,2 out of 10,3 out of 10,0 out of 9,3 out of 10,37,19,"6200 SW 73RD ST
Miami, FL 33143
(25.70298, -80.29336)"
100007,FLORIDA HOSPITAL,601 E ROLLINS ST,Orlando,FL,32803,ORANGE,5 out of 10,4 out of 9,5 out of 10,0 out of 10,1 out of 9,1 out of 10,2 out of 10,2 out of 9,2 out of 10,4 out of 10,4 out of 9,4 out of 10,7 out of 10,6 out of 9,7 out of 10,5 out of 10,3 out of 9,5 out of 10,6 out of 10,6 out of 9,6 out of 10,5 out of 10,3 out of 9,5 out of 10,35,18,"601 E ROLLINS ST
Orlando, FL 32803
(28.573457, -81.370328)"
100181,LARKIN COMMUNITY HOSPITAL,7031 SW 62ND AVE,South Miami,FL,33143,DADE,8 out of 10,Not Available,8 out of 10,6 out of 10,Not Available,6 out of 10,7 out of 10,Not Available,7 out of 10,6 out of 10,Not Available,6 out of 10,10 out of 10,Not Available,10 out of 10,8 out of 10,Not Available,8 out of 10,0 out of 10,Not Available,0 out of 10,0 out of 10,Not Available,0 out of 10,45,16,"7031 SW 62ND AVE
South Miami, FL 33143
(25.705493, -80.293469)"
40051,DREW MEMORIAL HOSPITAL,778 SCOGIN DRIVE,Monticello,AR,71655,DREW,0 out of 10,0 out of 9,0 out of 10,8 out of 10,0 out of 9,8 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,9,14,"778 SCOGIN DRIVE
Monticello, AR 71655
(33.610628, -91.814978)"
140181,SOUTH SHORE HOSPITAL,8012 SOUTH CRANDON AVENUE,Chicago,IL,60617,COOK,0 out of 10,2 out of 9,2 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,1 out of 10,2 out of 9,2 out of 10,0 out of 10,3 out of 9,3 out of 10,0 out of 10,1 out of 9,1 out of 10,15,10,"8012 SOUTH CRANDON AVENUE
Chicago, IL 60617
(41.749496, -87.568623)"
100140,BAPTIST MEDICAL CENTER - NASSAU,1250 S 18TH ST,Fernandina Beach,FL,32034,NASSAU,3 out of 10,0 out of 9,3 out of 10,3 out of 10,0 out of 9,3 out of 10,4 out of 10,1 out of 9,4 out of 10,4 out of 10,0 out of 9,4 out of 10,7 out of 10,7 out of 9,7 out of 10,5 out of 10,2 out of 9,5 out of 10,3 out of 10,4 out of 9,4 out of 10,6 out of 10,1 out of 9,6 out of 10,36,20,"1250 S 18TH ST
Fernandina Beach, FL 32034
(30.653028, -81.449462)"
140084,VISTA MEDICAL CENTER EAST,1324 NORTH SHERIDAN ROAD,Waukegan,IL,60085,LAKE,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,2,12,"1324 NORTH SHERIDAN ROAD
Waukegan, IL 60085
(42.378857, -87.831135)"
110002,UPSON REGIONAL MEDICAL CENTER,801 W GORDON STREET,Thomaston,GA,30286,UPSON,10 out of 10,9 out of 9,10 out of 10,9 out of 10,8 out of 9,9 out of 10,6 out of 10,0 out of 9,6 out of 10,7 out of 10,3 out of 9,7 out of 10,6 out of 10,0 out of 9,6 out of 10,10 out of 10,9 out of 9,10 out of 10,3 out of 10,3 out of 9,3 out of 10,4 out of 10,0 out of 9,4 out of 10,55,20,"801 W GORDON STREET
Thomaston, GA 30286
(32.887252, -84.336109)"
10086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,Winfield,AL,35594,MARION,2 out of 10,0 out of 9,2 out of 10,3 out of 10,0 out of 9,3 out of 10,3 out of 10,1 out of 9,3 out of 10,4 out of 10,0 out of 9,4 out of 10,2 out of 10,0 out of 9,2 out of 10,4 out of 10,0 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,19,19,"1530 U S HIGHWAY 43
Winfield, AL 35594
(33.929316, -87.824507)"
140186,RIVERSIDE MEDICAL CENTER,350 N WALL ST,Kankakee,IL,60901,KANKAKEE,3 out of 10,1 out of 9,3 out of 10,2 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,3 out of 9,3 out of 10,2 out of 10,0 out of 9,2 out of 10,4 out of 10,6 out of 9,6 out of 10,5 out of 10,2 out of 9,5 out of 10,21,19,"350 N WALL ST
Kankakee, IL 60901
(41.124148, -87.882651)"
100028,PARRISH MEDICAL CENTER,951 N WASHINGTON AVE,Titusville,FL,32796,BREVARD,3 out of 10,0 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,4 out of 10,2 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,4 out of 10,2 out of 9,4 out of 10,4 out of 10,1 out of 9,4 out of 10,5 out of 10,5 out of 9,5 out of 10,5 out of 10,5 out of 9,5 out of 10,25,15,"951 N WASHINGTON AVE
Titusville, FL 32796
(28.629068, -80.824944)"
50073,KAISER FOUNDATION HOSPITAL AND REHAB CENTER,975 SERENO DR,Vallejo,CA,94589,SOLANO,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,1 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,1 out of 9,3 out of 10,2 out of 10,0 out of 9,2 out of 10,8,15,"975 SERENO DR
Vallejo, CA 94589
(38.128437, -122.247586)"
140124,JOHN H STROGER JR HOSPITAL,1901 W HARRISON ST,Chicago,IL,60612,COOK,0 out of 10,0 out of 9,0 out of 10,2 out of 10,1 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,4,7,"1901 W HARRISON ST
Chicago, IL 60612
(41.874041, -87.674308)"
90004,MEDSTAR GEORGETOWN UNIVERSITY HOSPITAL,3800 RESERVOIR RD,Washington,DC,20007,DISTRICT OF COLUMBIA,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,5 out of 10,3 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,9,15,"3800 RESERVOIR RD
Washington, DC 20007
(38.912597, -77.074329)"
30030,ABRAZO CENTRAL CAMPUS,2000 WEST BETHANY HOME ROAD,Phoenix,AZ,85015,MARICOPA,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,1,15,"2000 WEST BETHANY HOME ROAD
Phoenix, AZ 85015
(33.524116, -112.101934)"
140164,MEMORIAL HOSPITAL OF CARBONDALE,405 W JACKSON,Carbondale,IL,62902,JACKSON,3 out of 10,1 out of 9,3 out of 10,1 out of 10,0 out of 9,1 out of 10,3 out of 10,1 out of 9,3 out of 10,2 out of 10,1 out of 9,2 out of 10,3 out of 10,3 out of 9,3 out of 10,1 out of 10,0 out of 9,1 out of 10,3 out of 10,0 out of 9,3 out of 10,3 out of 10,0 out of 9,3 out of 10,19,20,"405 W JACKSON
Carbondale, IL 62902
(37.72799, -89.219896)"
50040,LAC/OLIVE VIEW-UCLA MEDICAL CENTER,14445 OLIVE VIEW DRIVE,Sylmar,CA,91342,LOS ANGELES,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,2 out of 9,2 out of 10,6,6,"14445 OLIVE VIEW DRIVE
Sylmar, CA 91342
(34.325912, -118.445513)"
100292,SACRED HEART HOSPITAL ON THE EMERALD COAST,7800 US HWY 98 W,Miramar Beach,FL,32550,WALTON,6 out of 10,0 out of 9,6 out of 10,6 out of 10,2 out of 9,6 out of 10,4 out of 10,0 out of 9,4 out of 10,6 out of 10,0 out of 9,6 out of 10,8 out of 10,6 out of 9,8 out of 10,6 out of 10,0 out of 9,6 out of 10,9 out of 10,5 out of 9,9 out of 10,10 out of 10,0 out of 9,10 out of 10,55,20,"7800 US HWY 98 W
Miramar Beach, FL 32550
(30.376925, -86.307354)"
110168,REDMOND REGIONAL MEDICAL CENTER,501 REDMOND ROAD,Rome,GA,30165,FLOYD,3 out of 10,0 out of 9,3 out of 10,4 out of 10,0 out of 9,4 out of 10,3 out of 10,0 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,4 out of 10,0 out of 9,4 out of 10,4 out of 10,0 out of 9,4 out of 10,2 out of 10,2 out of 9,2 out of 10,5 out of 10,0 out of 9,5 out of 10,25,19,"501 REDMOND ROAD
Rome, GA 30165
(34.278191, -85.194131)"
170014,RANSOM MEMORIAL HOSPITAL,1301 S MAIN STREET,Ottawa,KS,66067,FRANKLIN,1 out of 10,0 out of 9,1 out of 10,6 out of 10,0 out of 9,6 out of 10,6 out of 10,0 out of 9,6 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,0 out of 9,3 out of 10,2 out of 10,0 out of 9,2 out of 10,7 out of 10,7 out of 9,7 out of 10,3 out of 10,0 out of 9,3 out of 10,28,19,"1301 S MAIN STREET
Ottawa, KS 66067
(38.597285, -95.268759)"
70040,HEBREW HOME AND HOSPITAL INC,1 ABRAHMS BOULEVARD,West Hartford,CT,6117,HARTFORD,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"1 ABRAHMS BOULEVARD
West Hartford, CT 06117
(41.802763, -72.728941)"
110089,COFFEE REGIONAL MEDICAL CENTER,1101 OCILLA ROAD,Douglas,GA,31533,COFFEE,9 out of 10,0 out of 9,9 out of 10,6 out of 10,0 out of 9,6 out of 10,7 out of 10,0 out of 9,7 out of 10,9 out of 10,7 out of 9,9 out of 10,5 out of 10,0 out of 9,5 out of 10,7 out of 10,0 out of 9,7 out of 10,3 out of 10,4 out of 9,4 out of 10,4 out of 10,2 out of 9,4 out of 10,51,20,"1101 OCILLA ROAD
Douglas, GA 31533
(31.509589, -82.86346)"
40011,CHAMBERS MEMORIAL HOSPITAL,719 DETROIT STREET,Danville,AR,72833,YELL,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,4 out of 10,0 out of 9,4 out of 10,4 out of 10,0 out of 9,4 out of 10,2 out of 10,0 out of 9,2 out of 10,8 out of 10,0 out of 9,8 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,19,9,"719 DETROIT STREET
Danville, AR 72833
(35.054749, -93.388542)"
100191,MEDICAL CENTER OF TRINITY,"9332 SR 54, STE 401",Trinity,FL,34655,PASCO,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,3 out of 9,3 out of 10,0 out of 10,1 out of 9,1 out of 10,5 out of 10,3 out of 9,5 out of 10,0 out of 10,2 out of 9,2 out of 10,1 out of 10,2 out of 9,2 out of 10,15,16,"9332 SR 54, STE 401
Trinity, FL 34655
(28.206017, -82.660486)"
140300,PROVIDENT HOSPITAL OF CHICAGO,500 E 51ST ST,Chicago,IL,60615,COOK,4 out of 10,3 out of 9,4 out of 10,7 out of 10,5 out of 9,7 out of 10,5 out of 10,5 out of 9,5 out of 10,8 out of 10,3 out of 9,8 out of 10,1 out of 10,2 out of 9,2 out of 10,4 out of 10,0 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,30,14,"500 E 51ST ST
Chicago, IL 60615
(41.802158, -87.614193)"
110165,SOUTHERN REGIONAL MEDICAL CENTER,"11 UPPER RIVERDALE ROAD, SW",Riverdale,GA,30274,CLAYTON,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0,11,"11 UPPER RIVERDALE ROAD, SW
Riverdale, GA 30274
(33.576612, -84.393249)"
120011,KAISER FOUNDATION HOSPITAL,3288 MOANALUA RD,Honolulu,HI,96819,HONOLULU,5 out of 10,4 out of 9,5 out of 10,6 out of 10,3 out of 9,6 out of 10,5 out of 10,2 out of 9,5 out of 10,6 out of 10,4 out of 9,6 out of 10,7 out of 10,6 out of 9,7 out of 10,3 out of 10,3 out of 9,3 out of 10,5 out of 10,4 out of 9,5 out of 10,8 out of 10,7 out of 9,8 out of 10,45,20,"3288 MOANALUA RD
Honolulu, HI 96819
(21.363251, -157.901077)"
50603,SADDLEBACK MEMORIAL MEDICAL CENTER,24451 HEALTH CENTER DRIVE,Laguna Hills,CA,92653,ORANGE,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,2 out of 9,2 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,2 out of 9,2 out of 10,1 out of 10,1 out of 9,1 out of 10,8,13,"24451 HEALTH CENTER DRIVE
Laguna Hills, CA 92653
(33.608819, -117.707577)"
100022,JACKSON MEMORIAL HOSPITAL,1611 NW 12TH AVE,Miami,FL,33136,DADE,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,4,9,"1611 NW 12TH AVE
Miami, FL 33136
(25.790612, -80.214945)"
30085,NORTHWEST MEDICAL CENTER,6200 NORTH LA CHOLLA BOULEVARD,Tucson,AZ,85741,PIMA,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,0 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,3,9,"6200 NORTH LA CHOLLA BOULEVARD
Tucson, AZ 85741
(32.319581, -111.012054)"
40039,ARKANSAS METHODIST MEDICAL CENTER,900 WEST KINGSHIGHWAY,Paragould,AR,72451,GREENE,1 out of 10,0 out of 9,1 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,1 out of 9,2 out of 10,4 out of 10,0 out of 9,4 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,10,16,"900 WEST KINGSHIGHWAY
Paragould, AR 72451
(36.052589, -90.500007)"
150030,HENRY COUNTY MEMORIAL HOSPITAL,1000 N 16TH ST,New Castle,IN,47362,HENRY,10 out of 10,9 out of 9,10 out of 10,4 out of 10,1 out of 9,4 out of 10,8 out of 10,7 out of 9,8 out of 10,8 out of 10,7 out of 9,8 out of 10,9 out of 10,9 out of 9,9 out of 10,6 out of 10,5 out of 9,6 out of 10,10 out of 10,9 out of 9,10 out of 10,6 out of 10,4 out of 9,6 out of 10,61,20,"1000 N 16TH ST
New Castle, IN 47362
(39.942474, -85.36501)"
50468,MEMORIAL HOSPITAL OF GARDENA,1145 W REDONDO BEACH BLVD,Gardena,CA,90247,LOS ANGELES,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0,8,"1145 W REDONDO BEACH BLVD
Gardena, CA 90247
(33.892375, -118.295106)"
100232,PUTNAM COMMUNITY MEDICAL CENTER,611 ZEAGLER DR,Palatka,FL,32177,PUTNAM,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,2,9,"611 ZEAGLER DR
Palatka, FL 32177
(29.64217, -81.693513)"
140113,PRESENCE COVENANT MEDICAL CENTER,1400 WEST PARK AVENUE,Urbana,IL,61801,CHAMPAIGN,5 out of 10,5 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,3 out of 9,3 out of 10,4 out of 10,4 out of 9,4 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,2 out of 9,2 out of 10,8 out of 10,7 out of 9,8 out of 10,3 out of 10,4 out of 9,4 out of 10,27,18,"1400 WEST PARK AVENUE
Urbana, IL 61801
(40.117391, -88.227123)"
170122,"VIA CHRISTI HOSPITALS WICHITA, INC",929 NORTH ST FRANCIS STREET,Wichita,KS,67214,SEDGWICK,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,6,12,"929 NORTH ST FRANCIS STREET
Wichita, KS 67214
(37.700627, -97.331694)"
70033,DANBURY HOSPITAL,24 HOSPITAL AVE,Danbury,CT,6810,FAIRFIELD,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,2,15,"24 HOSPITAL AVE
Danbury, CT 06810
(41.406776, -73.444339)"
100313,SACRED HEART HOSPITAL ON THE GULF,3801 E HWY 98,Port Saint Joe,FL,32456,GULF,10 out of 10,0 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,0 out of 9,10 out of 10,10 out of 10,0 out of 9,10 out of 10,8 out of 10,0 out of 9,8 out of 10,9 out of 10,0 out of 9,9 out of 10,5 out of 10,0 out of 9,5 out of 10,10 out of 10,9 out of 9,10 out of 10,72,20,"3801 E HWY 98
Port Saint Joe, FL 32456
(29.776561, -85.287402)"
110075,EAST GEORGIA REGIONAL MEDICAL CENTER,1499 FAIR ROAD,Statesboro,GA,30458,BULLOCH,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,1 out of 9,1 out of 10,1 out of 10,5 out of 9,5 out of 10,0 out of 10,1 out of 9,1 out of 10,8,14,"1499 FAIR ROAD
Statesboro, GA 30458
(32.416597, -81.769646)"
50464,DOCTORS MEDICAL CENTER,1441 FLORIDA AVENUE,Modesto,CA,95350,STANISLAUS,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,3,11,"1441 FLORIDA AVENUE
Modesto, CA 95350
(37.665531, -120.996248)"
110036,"MEMORIAL HEALTH UNIV MED CEN, INC",4700 WATERS AVENUE,Savannah,GA,31403,CHATHAM,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,1,13,"4700 WATERS AVENUE
Savannah, GA 31403
(32.031785, -81.091827)"
10034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,Tallassee,AL,36078,ELMORE,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,6 out of 10,0 out of 9,6 out of 10,5 out of 10,4 out of 9,5 out of 10,10 out of 10,9 out of 9,10 out of 10,6 out of 10,0 out of 9,6 out of 10,10 out of 10,9 out of 9,10 out of 10,7 out of 10,3 out of 9,7 out of 10,64,20,"805 FRIENDSHIP ROAD
Tallassee, AL 36078
(32.535265, -85.911808)"
50245,ARROWHEAD REGIONAL MEDICAL CENTER,400 NORTH PEPPER AVENUE,Colton,CA,92324,SAN BERNARDINO,0 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,1 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,9,13,"400 NORTH PEPPER AVENUE
Colton, CA 92324
(34.076166, -117.352847)"
140189,SARAH BUSH LINCOLN HEALTH CENTER,1000 HEALTH CENTER DRIVE P O BOX 372,Mattoon,IL,61938,COLES,5 out of 10,0 out of 9,5 out of 10,3 out of 10,0 out of 9,3 out of 10,4 out of 10,0 out of 9,4 out of 10,2 out of 10,0 out of 9,2 out of 10,6 out of 10,0 out of 9,6 out of 10,1 out of 10,0 out of 9,1 out of 10,7 out of 10,0 out of 9,7 out of 10,6 out of 10,0 out of 9,6 out of 10,34,20,"1000 HEALTH CENTER DRIVE P O BOX 372
Mattoon, IL 61938
(39.488543, -88.275793)"
110233,SOUTHEASTERN REGIONAL MEDICAL CENTER,600 CELEBRATE LIFE PARKWAY,Newnan,GA,30265,COWETA,10 out of 10,Not Available,10 out of 10,10 out of 10,Not Available,10 out of 10,10 out of 10,Not Available,10 out of 10,10 out of 10,Not Available,10 out of 10,10 out of 10,Not Available,10 out of 10,10 out of 10,Not Available,10 out of 10,9 out of 10,Not Available,9 out of 10,10 out of 10,Not Available,10 out of 10,79,20,"600 CELEBRATE LIFE PARKWAY
Newnan, GA 30265
(33.386391, -84.757419)"
